Wavelength (nm),EQE (%)
806.1008631,6.224667819
823.0411237,6.936818015
839.9813843,7.26258885
856.9216449,8.323238079
870.7818582,9.732386341
878.4819766,11.84358338
880.0220003,14.06589605
881.562024,17.50353596
880.0220003,15.64929383
882.5887065,21.2050755
881.562024,19.64945663
884.1287302,29.70542147
884.1287302,26.87197281
883.1020477,25.64970084
883.1020477,23.81629289
886.1820951,34.6083988
885.4120833,31.89995523
888.0301235,43.91711099
887.7221188,41.56701534
886.952107,40.06695429
886.952107,38.23354634
886.1820951,36.65014856
889.2621425,49.31733078
888.4921306,46.65055558
890.8021662,53.60917213
889.2621425,51.65075909
892.3421899,61.42199011
891.572178,58.73438072
891.572178,56.90097277
890.8021662,55.81759534
893.8822136,65.65132891
892.3421899,63.48457406
896.1922491,70.4459685
894.6522254,67.73474704
896.962261,72.98496072
898.5022847,75.34616794
899.2722965,77.23513371
916.4050601,81.66239723
936.2328651,78.61018967
960.359903,78.84631039
986.2836351,83.05679922
997.4488069,85.90215312
1004.455915,86.85219179
1021.70418,85.28849178
1038.204434,86.00930034
1039.414453,87.19387236
1052.88966,83.50622227
1058.08724,81.92282449
1071.75495,84.96461496
1079.455069,81.65012821
1089.122995,79.50580225
1100.75873,82.22144776
1108.385514,83.11632545
1122.575732,80.86861492
1132.585886,83.93602372
1143.366052,85.37940457
1157.996277,83.73539827
1171.343149,86.29105784
1175.449879,87.22165127
1191.106786,84.94756881
1208.047047,86.87946562
1218.827213,84.26319753
1228.837367,81.15195979
1243.775597,84.73543897
1248.857675,86.27716838
1256.557793,83.73539827
1259.175833,81.43530465
1263.4879,79.26299402
1274.781407,77.5407017
1283.508208,80.71444198
1290.053309,83.04787028
1295.250888,84.52709715
1303.528516,81.33946742
1306.916568,79.32521877
1310.201952,77.5407017
1321.534947,75.7158411
1330.735601,78.76297367
1335.099002,81.09640197
1345.109156,84.71877162
1355.889321,81.31863324
1359.739381,79.11021002
1371.289558,77.37150289
1382.377729,79.80190484
1385.919783,82.19366885
1395.352428,84.55626501
1399.394991,84.98544914
1408.250127,82.45756848
1413.64021,80.42276344
1425.190388,78.6594341
1436.740565,81.00612052
1445.5187,83.25204526
1453.424155,83.9483699
1463.69098,81.50514876
1469.081063,79.31855183
1480.63124,77.15179698
1492.181418,78.44351622
1499.111525,80.35192723
1511.431714,81.20499225
1522.21188,78.65185803
1527.601963,76.38093227
1533.762058,74.25584578
1545.312236,72.57585316
1561.482484,72.2932659
1571.492638,69.65149172
1574.572686,67.54723941
1577.652733,65.27631365
1580.732781,62.98455371
1582.272804,61.15114575
1584.58284,58.92188836
1587.662887,56.81763605
1588.432899,54.81755464
1591.512946,52.15077944
1593.822982,49.16454679
1597.673041,45.90052505
1600.445084,43.36137409
1603.833136,40.73364809
1606.913183,38.58772742
1610.763243,36.69181692
1616.153325,34.7889617
1623.083432,32.77499084
1634.63361,31.03880907
1645.413776,29.33318409
1652.343882,27.71228479
1658.503977,25.77470593
1664.664072,23.87879543
1670.824167,22.00371912
1677.754273,20.11614229
1686.994415,18.28035329
1700.854629,16.588726
1717.794889,15.44474005
1731.655102,13.95874883
1741.665256,12.10748301
1751.67541,10.31574342
1762.455576,8.589482681
1776.315789,6.845905224
1793.25605,5.429180897
905.2631579,82.02531646
900,79.55696203
910.5263158,79.17721519
926.3157895,85.82278481
945.6140351,85.25316456
950.877193,84.87341772
952.6315789,82.40506329
952.6315789,80.50632911
963.1578947,80.88607595
968.4210526,83.73417722
973.6842105,86.39240506
980.7017544,84.11392405
929.8245614,82.59493671
931.5789474,80.88607595
940.3508772,81.07594937
942.1052632,82.78481013
928.0701754,84.11392405
921.0526316,83.73417722
